id,question,reference,candidate,expected_label,l_A,l_B,d_raw,p_accept_raw,prompt_len,predicted_label,correct,greedy_id,greedy_token,greedy_pred,greedy_agrees
S01,What is the capital city of France?,Paris,Paris,A,27.25,7.28125,19.96875,0.9999999978734184,116,A,True,1098,A,A,True
S02,Which planet is known as the Red Planet?,Mars,Mars,A,27.25,7.09375,20.15625,0.9999999982370018,118,A,True,1098,A,A,True
S03,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,A,27.5,7.65625,19.84375,0.9999999975902674,127,A,True,1098,A,A,True
S04,Who wrote the novel Moby-Dick?,Herman Melville,Herman Melville,A,27.125,7.25,19.875,0.999999997664407,124,A,True,1098,A,A,True
S05,What is the largest ocean on Earth?,Pacific Ocean,Pacific Ocean,A,27.375,7.0625,20.3125,0.9999999984920278,118,A,True,1098,A,A,True
S06,How many sides does a hexagon have?,Six,Six,A,27.5,7.3125,20.1875,0.9999999982912435,117,A,True,1098,A,A,True
S07,What instrument measures atmospheric pressure?,Barometer,Barometer,A,27.375,7.46875,19.90625,0.9999999977362657,118,A,True,1098,A,A,True
S08,Which metal is liquid at room temperature?,Mercury,Mercury,A,27.25,7.8125,19.4375,0.9999999963825628,118,A,True,1098,A,A,True
S09,What is the freezing point of water in Celsius?,Zero,Zero,A,27.125,7.46875,19.65625,0.9999999970933076,121,A,True,1098,A,A,True
S10,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,A,27.375,7.46875,19.90625,0.9999999977362657,123,A,True,1098,A,A,True
S11,What is the speed of light in a vacuum?,"About 300,000 km per second","About 300,000 km per second",A,27.0,7.6875,19.3125,0.9999999959009065,140,A,True,1098,A,A,True
S12,Which organ pumps blood through the body?,Heart,Heart,A,27.5,7.3125,20.1875,0.9999999982912435,117,A,True,1098,A,A,True
S13,What is the capital city of France?,Paris,Berlin,B,14.25,26.625,-12.375,4.222833444659923e-06,116,B,True,1133,B,B,True
S14,Which planet is known as the Red Planet?,Mars,Venus,B,14.375,26.375,-12.0,6.144174602214718e-06,119,B,True,1133,B,B,True
S15,What gas do plants absorb during photosynthesis?,Carbon dioxide,Oxygen,B,14.3125,26.125,-11.8125,7.411279871974134e-06,124,B,True,1133,B,B,True
S16,Who wrote the novel Moby-Dick?,Herman Melville,Mark Twain,B,14.75,26.125,-11.375,1.1478768127080351e-05,123,B,True,1133,B,B,True
S17,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,B,13.75,26.125,-12.375,4.222833444659923e-06,118,B,True,1133,B,B,True
S18,How many sides does a hexagon have?,Six,Eight,B,14.0,26.25,-12.25,4.785094494890119e-06,117,B,True,1133,B,B,True
S19,What instrument measures atmospheric pressure?,Barometer,Thermometer,B,14.0,26.375,-12.375,4.222833444659923e-06,119,B,True,1133,B,B,True
S20,Which metal is liquid at room temperature?,Mercury,Copper,B,14.3125,26.125,-11.8125,7.411279871974134e-06,118,B,True,1133,B,B,True
S21,What is the freezing point of water in Celsius?,Zero,One hundred,B,14.1875,26.25,-12.0625,5.77192003016332e-06,122,B,True,1133,B,B,True
S22,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,B,14.25,26.25,-12.0,6.144174602214718e-06,122,B,True,1133,B,B,True
S23,What is the speed of light in a vacuum?,"About 300,000 km per second","About 300,000 km per day",B,14.3125,25.25,-10.9375,1.7778551863194697e-05,140,B,True,1133,B,B,True
S24,Which organ pumps blood through the body?,Heart,Liver,B,14.5,26.125,-11.625,8.939696304799167e-06,117,B,True,1133,B,B,True
