source_group_id,question,T0_SS_d_raw,T0_SS_correct,T1_SS_d_raw,T1_SS_correct,T2_SS_d_raw,T2_SS_correct
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,-11.875,False,-8.5,False,-12.6875,False
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,Which element has the highest electronegativity value?,-11.0625,False,-10.1875,False,-11.5,False
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",-5.5,False,-6.875,False,-7.25,False
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,Which law predicts increasing entropy based on living systems?,-10.125,False,-8.9375,False,-11.5625,False
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,What is the largest known animal?,-9.4375,False,-9.4375,False,-11.0625,False
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",-5.625,False,-3.875,False,-8.625,False
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,What makes nobel gases unreactive?,-10.5625,False,-9.8125,False,-11.625,False
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,Epithelial cells are found in what body organ?,-10.8125,False,-10.875,False,-11.9375,False
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",-3.25,False,-1.5,False,-6.0,False
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,Bacteria and archaea that survive under extreme conditions are called?,-2.5,False,-10.4375,False,1.0,True
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,What is the three-dimensional structure of a single polypeptide called?,-3.125,False,-8.625,False,-3.25,False
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,What is the term for sediment deposited by a glacier?,-10.625,False,-8.6875,False,-11.3125,False
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,What is the term for the interaction of waves with other waves?,-4.875,False,-7.125,False,9.9375,True
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,Cardiac muscle normally has what kind of oxygen-using metabolism?,-10.0625,False,-10.3125,False,-10.75,False
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,A homogeneous mixture composed of two or more substances is called a what?,-1.625,False,-10.0,False,-9.75,False
