source_group_id,question,T3_SS_false_reject,T4_SS_false_reject,T5_SS_false_reject,T3_SS_d_raw,T4_SS_d_raw,T5_SS_d_raw
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,What is the creation of a new species called?,True,True,True,-12.8750,-18.4688,-17.8594
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,What kind of muscle cells have a single nucleus and are spindle-shaped?,True,True,True,-16.1406,-18.5312,-14.7422
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,The radioactive gas radon and uv radiation are culprits in different types of wh,False,True,True,11.4062,-9.6250,-7.5000
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,Purple loosestrife is a european wildflower that was introduced to which contine,True,True,True,-14.6562,-16.5508,-16.7822
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,Which element has the highest electronegativity value?,True,True,True,-14.3750,-17.0703,-17.3281
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,"What planet, covered by a thick layer of clouds, looks smooth and featureless th",True,True,True,-11.3438,-14.5938,-12.6719
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,"Exotic species, also known as invasive or non-native species often cause _______",True,True,True,-14.9609,-17.8594,-17.6875
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,Which law predicts increasing entropy based on living systems?,True,True,True,-3.2500,-16.2266,-8.0625
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it",True,True,True,-10.7188,-16.2500,-16.5312
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,A pigment within plant cells which absorbs light is called?,True,True,True,-10.1875,-18.9688,-17.5312
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,What is the largest known animal?,False,False,True,13.7520,8.6562,-14.8477
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,What is the process by which the nucleus of a eukaryotic cell divides?,False,True,True,10.4375,-6.8125,-15.8242
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,What do most of the noble gas elements have in common?,True,True,True,-13.8125,-17.5938,-16.3359
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,"Distinguished by the great red spot, what planet has an upper atmosphere contain",True,True,True,-14.9434,-19.6250,-13.6406
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,Research that focuses on understanding basic properties and processes without co,True,True,True,-11.5625,-15.9590,-15.5977
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,What makes the sun glow brightly?,True,True,True,-3.2500,-16.0938,-14.4487
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,What makes nobel gases unreactive?,True,True,True,-12.2188,-16.8203,-15.4062
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,Epithelial cells are found in what body organ?,False,True,True,3.8125,-8.6250,-15.7617
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,"Protozoa that cause malaria are spread by a vector, entering the blood through t",True,True,True,-12.5938,-18.7344,-15.8594
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,Bacteria and archaea that survive under extreme conditions are called?,True,True,True,-6.5000,-12.1562,-15.4141
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,Amorphous selenium is a photosensitive what?,True,True,True,-6.6875,-14.8984,-9.2500
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,What is the mode of breathing that occurs at rest and does not require the cogni,True,True,True,-7.8750,-13.4688,-16.2793
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,What are the outer planets of the solar system made of?,False,True,True,6.0625,-10.2188,-10.0312
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,What is the three-dimensional structure of a single polypeptide called?,True,True,True,-14.9531,-20.0000,-15.9746
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,What phase is pure chlorine present as?,False,True,True,8.5312,-7.2500,-14.6094
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,What is the term for the interaction of waves with other waves?,True,True,True,-14.1719,-18.6719,-17.7500
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,Regular checkups with what type of specialist can detect skin cancers early?,True,True,True,-5.0000,-13.0625,-16.5508
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,Cardiac muscle normally has what kind of oxygen-using metabolism?,False,True,True,5.3125,-10.6875,-12.5000
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,A homogeneous mixture composed of two or more substances is called a what?,True,True,True,-6.2500,-17.4551,-13.8281
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,Periodic refers to something that does what?,True,True,True,-16.4238,-19.6562,-16.8125
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,"The embryo sac consists of only a few cells, one of which is the what?",True,True,True,-3.5000,-16.5977,-17.7031
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,"In myasthenia gravis, antibodies bind to and block certain receptors on muscle c",True,True,True,-5.4375,-14.7500,-13.2500
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,What type of diseases are diseases that are caused by choices that people make i,True,True,True,-11.6562,-17.5479,-16.1748
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,Pure substances have a constant composition and can only be changed by what?,True,True,True,-1.6250,-14.5781,-15.4844
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,"Color blindness, hemophilia and muscular dystrophy are three x-linked what?",True,True,True,-12.5312,-18.0938,-14.5641
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,Unsaturated hydrocarbons with at least one triple bond are known as?,True,True,True,-11.5312,-16.5391,-15.3594
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,What forms when one substance dissolves into another?,True,True,True,-4.0625,-15.5312,-12.3906
