question,r_o,r_s,c_o,c_s
What kind of interference characteristics does matter have compared to any wave?,same,molality,The answer is same.,The answer is molality.
Mechanical waves can only trave through what?,matter,conducting electricity,The answer is matter.,The answer is conducting electricity.
What are two simple and common types of capacitor connections?,series and parallel,decreases,The answer is series and parallel.,The answer is decreases.
Which law predicts increasing entropy based on living systems?,thermodynamic,fracking,The answer is thermodynamic.,The answer is fracking.
The relative sizes of the atoms show several trends with regard to what visual method of organization?,periodic table,turbine,The answer is periodic table.,The answer is turbine.
"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",chemical change,the sun,The answer is chemical change.,The answer is the sun.
"Which can cause serious metabolic disorders, too little or too much thyroid hormone in the blood?",both,the sun,The answer is both.,The answer is the sun.
"The human penis contains the urethra, as well as how many cylinders of spongy erectile tissue?",three,plate tectonics,The answer is three.,The answer is plate tectonics.
The mitotic spindle is an apparatus of microtubules that controls chromosome movement during what?,mitosis,birefringent,The answer is mitosis.,The answer is birefringent.
A pigment within plant cells which absorbs light is called?,chlorophyll,cell membrane,The answer is chlorophyll.,The answer is cell membrane.
What is the process by which the nucleus of a eukaryotic cell divides?,mitosis,causation,The answer is mitosis.,The answer is causation.
Proteins may be defined as compounds of high molar mass consisting largely or entirely of chains of these?,amino acids,the shell,The answer is amino acids.,The answer is the shell.
"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",mosquito,carbon dioxide,The answer is mosquito.,The answer is carbon dioxide.
The values of strangeness assigned to various particles are based on what?,decay systematics,ground tilting,The answer is decay systematics.,The answer is ground tilting.
What is the term for a homogeneous mixture of two or more substances?,solution,tertiary structure,The answer is solution.,The answer is tertiary structure.
What is created when you combine simple machines?,compound machines,catabolic and anabolic,The answer is compound machines.,The answer is catabolic and anabolic.
What process do single cell organisms use to remove waste and get nutrients into their cell?,diffusion,hydrogen and oxygen,The answer is diffusion.,The answer is hydrogen and oxygen.
Cardiac muscle normally has what kind of oxygen-using metabolism?,aerobic,metamorphosis,The answer is aerobic.,The answer is metamorphosis.
What type of organisms collect the energy from the sun and turn it into organic compounds?,autotrophs,dehydration synthesis reaction,The answer is autotrophs.,The answer is dehydration synthesis reaction.
Cancer is the result of unchecked cell division caused by a breakdown of the mechanisms that regulate this?,cell cycle,sigma bonds,The answer is cell cycle.,The answer is sigma bonds.
What is considered to be the most common intrusive igneous rock?,granite,a seed,The answer is granite.,The answer is a seed.
The atmospheric concentration of carbon dioxide on earth has been regulated by the concentration of what form of life?,plant,biochemistry,The answer is plant.,The answer is biochemistry.
Mercury looks a lot like earth's moon. why do you think it does? both have been struck by a lot of what?,asteroids,biodiversity,The answer is asteroids.,The answer is biodiversity.
