source_group_id,cell,question,r_o,r_s,c_o,c_s,shared_q,shared_r_o,shared_r_s,norm_ro_ne_rs,render_ro_ne_rs
0003dbdcf8d1cf886c94c84da4b4d79558142ecf2e59f8133a04b2edf056360d,OO-OS-SO-SS,In what country is KMEI-LP?,United States of America,Andorra,The answer is United States of America.,The answer is Andorra.,True,True,True,True,True
004faff332f87246fb8be2fc3f5b99e0526304be69df6f0f82dbeffb1f3f9099,OO-OS-SO-SS,Who was the producer of The Detective?,Aaron Rosenberg,Jared Leto,The answer is Aaron Rosenberg.,The answer is Jared Leto.,True,True,True,True,True
008a0b5a3fc6ba295a6564694368d9905b75ae673a7fc16707ab883b917a2819,OO-OS-SO-SS,Who was the producer of Intrigue?,Samuel Bischoff,Jeff Nathanson,The answer is Samuel Bischoff.,The answer is Jeff Nathanson.,True,True,True,True,True
00c4e05eda617a23050a526b784554259d814131a971214682f86e984598b576,OO-OS-SO-SS,What is San Bernardo the capital of?,Maipo Province,Douglas County,The answer is Maipo Province.,The answer is Douglas County.,True,True,True,True,True
00c9cdb52534f34208464e6bf5e02c370adff82a39ed9879498828e188427785,OO-OS-SO-SS,Who was the producer of Arena?,Irwin Yablans,Peter Rogers,The answer is Irwin Yablans.,The answer is Peter Rogers.,True,True,True,True,True
01426751ec9b1185a8b89e543a48194f89d418900e168857fc80aa45eee4fb44,OO-OS-SO-SS,Who was the composer of Let It Go?,Robert Lopez,Charles Cuvillier,The answer is Robert Lopez.,The answer is Charles Cuvillier.,True,True,True,True,True
01464ce2448c75df945b077fe8a1e0ced5110f396ef0ce5b56c26baf2a42e9aa,OO-OS-SO-SS,Who was the director of Shiva?,Ronit Elkabetz,Don Weis,The answer is Ronit Elkabetz.,The answer is Don Weis.,True,True,True,True,True
015227559d334bd51866cf04555b72310f240456f6544bef3dc151354a5fff6f,OO-OS-SO-SS,Who was the screenwriter for No Tears for the Dead?,Lee Jeong-beom,Steven Spielberg,The answer is Lee Jeong-beom.,The answer is Steven Spielberg.,True,True,True,True,True
015459bcada57278b71884aa5d21f6ed8b060e143f2c578b4061130c87b0e0f6,OO-OS-SO-SS,Who was the producer of Swamp Water?,20th Century Studios,Jefferson Airplane,The answer is 20th Century Studios.,The answer is Jefferson Airplane.,True,True,True,True,True
0158019d72529ce4af87312f328590274bdfeb5fcd05d8744f2cc7c80276b4e0,OO-OS-SO-SS,Who was the director of Kes?,Ken Loach,Anna Boden,The answer is Ken Loach.,The answer is Anna Boden.,True,True,True,True,True
0174c51a48da4b95cfedb240108dae97f861e950948d6e434205faf47e4b8512,OO-OS-SO-SS,Who was the screenwriter for The Trial?,Franz Kafka,James Vanderbilt,The answer is Franz Kafka.,The answer is James Vanderbilt.,True,True,True,True,True
0183314566235f929de0ec283daa17293c437de7de2945cb7a9188495fd8a511,OO-OS-SO-SS,Who was the composer of The Master?,Jonny Greenwood,Hans Zimmer,The answer is Jonny Greenwood.,The answer is Hans Zimmer.,True,True,True,True,True
018bab700b352a3c43d462f39c8f3d27c5eeebf8c9518c91f14254edb1f97c47,OO-OS-SO-SS,What genre is Max Payne 3?,third-person shooter,pop music,The answer is third-person shooter.,The answer is pop music.,True,True,True,True,True
01908858e1d72950c327500e6388db683b38604f59b124102f1b08cf82bfdaa6,OO-OS-SO-SS,Who was the producer of The Fighter?,Mark Wahlberg,Rebecca Harrell Tickell,The answer is Mark Wahlberg.,The answer is Rebecca Harrell Tickell.,True,True,True,True,True
01c17e8e4eb7d56c2424f3864347deec66a7f7940449732a0dd74f67aa6b9637,OO-OS-SO-SS,What is the capital of Republic of China 1912–1949?,Nanjing,Sankt Goarshausen,The answer is Nanjing.,The answer is Sankt Goarshausen.,True,True,True,True,True
01d4b08236c763094a25671675a73dc22b4eabb30b1572816e923bb0c182d4a6,OO-OS-SO-SS,What is Carlo Giustini's occupation?,actor,politician,The answer is actor.,The answer is politician.,True,True,True,True,True
0219225d946f509e896d00556eae6a3f5475c51f9f6ef9bcf5c0f50565a8f874,OO-OS-SO-SS,Who was the composer of Nine?,Maury Yeston,Hans Zimmer,The answer is Maury Yeston.,The answer is Hans Zimmer.,True,True,True,True,True
023f5ebf20a92865c04fc7360585b366dec9afae2967d021d62dfd973814af1f,OO-OS-SO-SS,Who was the producer of The Overnight?,Naomi Scott,Nelson Rodrigues,The answer is Naomi Scott.,The answer is Nelson Rodrigues.,True,True,True,True,True
026c78249f2f50318caba261ec49765383b9bd674ef34e96adeb1df367d36af7,OO-OS-SO-SS,Who was the director of K2?,Franc Roddam,Morgan O'Neill,The answer is Franc Roddam.,The answer is Morgan O'Neill.,True,True,True,True,True
02950840c651644ba6531f4901cdac1ecc049b32752afd1c8152c07a9010f23d,OO-OS-SO-SS,What genre is Ola?,pop music,sitcom,The answer is pop music.,The answer is sitcom.,True,True,True,True,True
02a8b1122ebeb7fa721089a487ee12584a1955c7d65c088d90711f64167b1643,OO-OS-SO-SS,What genre is More Love?,pop music,disaster film,The answer is pop music.,The answer is disaster film.,True,True,True,True,True
02ac735966327907095c31e982faecb0808d3773af0a32f633a17e0393170048,OO-OS-SO-SS,"What is the religion of St. Albert's Church, Riga?",Catholic Church,Buddhism,The answer is Catholic Church.,The answer is Buddhism.,True,True,True,True,True
02bce44c2f4891d7761193642a47815a62016e2aa588e490f9618cede068b1fa,OO-OS-SO-SS,In what city was Piotr Balcerzak born?,Warsaw,Russian Empire,The answer is Warsaw.,The answer is Russian Empire.,True,True,True,True,True
02c56a56371bc9742da4c104aa540e14cf8bfb3be233bc4329576219fc39f743,OO-OS-SO-SS,Who is the author of Timeless?,Gail Carriger,Terrence McNally,The answer is Gail Carriger.,The answer is Terrence McNally.,True,True,True,True,True
02f07a9e39b40de40644ab30f2315bb3d6ffab5ccc3cded19c98c5b53da65a8f,OO-OS-SO-SS,Who was the screenwriter for The Road?,Cormac McCarthy,David Koepp,The answer is Cormac McCarthy.,The answer is David Koepp.,True,True,True,True,True
