template,source_group_id,cell,question,reference,candidate,expected_label,l_A,l_B,d_raw,p_accept_raw,predicted_label,correct
T3,05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OO,What is the creation of a new species called?,speciation,speciation,A,14.0,-5.78125,19.78125,0.9999999974348528,A,True
T3,05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OS,What is the creation of a new species called?,speciation,gills,B,-6.84375,15.625,-22.46875,1.7456045275148743e-10,B,True
T3,05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SO,What is the creation of a new species called?,gills,speciation,B,9.1875,16.125,-6.9375,0.0009697519677825861,B,True
T3,05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SS,What is the creation of a new species called?,gills,gills,A,5.0,17.875,-12.875,2.561282210758673e-06,B,False
T3,06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OO,What kind of muscle cells have a single nucleus and are spindle-shaped?,smooth muscle,smooth muscle,A,15.3125,-3.4375,18.75,0.9999999928058669,A,True
T3,06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OS,What kind of muscle cells have a single nucleus and are spindle-shaped?,smooth muscle,fiber optics,B,-4.9375,15.25,-20.1875,1.7087563671247272e-09,B,True
T3,06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SO,What kind of muscle cells have a single nucleus and are spindle-shaped?,fiber optics,smooth muscle,B,-0.0810546875,15.0,-15.0810546875,2.8208568360569337e-07,B,True
T3,06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SS,What kind of muscle cells have a single nucleus and are spindle-shaped?,fiber optics,fiber optics,A,1.484375,17.625,-16.140625,9.777224459584924e-08,B,False
T3,0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OO,The radioactive gas radon and uv radiation are culprits in different types of what disease?,cancer,cancer,A,16.625,-5.21875,21.84375,0.9999999996738782,A,True
T3,0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OS,The radioactive gas radon and uv radiation are culprits in different types of what disease?,cancer,alteration,B,-4.46875,14.875,-19.34375,3.972977577011357e-09,B,True
