source_group_id,question,T0_SS_correct,T1_SS_correct,T2_SS_correct,T0_SS_d_raw,T1_SS_d_raw,T2_SS_d_raw
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,What is the creation of a new species called?,False,False,False,-14.1250,-17.8516,-16.4639
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,What kind of muscle cells have a single nucleus and are spindle-shaped?,False,False,False,-17.1309,-16.7666,-15.5156
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,The radioactive gas radon and uv radiation are culprits in different types of wh,False,False,False,-3.0000,-2.8125,-6.5625
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,Purple loosestrife is a european wildflower that was introduced to which contine,False,False,False,-14.2188,-16.2344,-14.4219
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,Which element has the highest electronegativity value?,False,False,False,-16.3398,-16.7871,-14.5000
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,"What planet, covered by a thick layer of clouds, looks smooth and featureless th",False,False,False,-11.0000,-13.2188,-9.5312
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,"Exotic species, also known as invasive or non-native species often cause _______",False,False,False,-15.4375,-18.3672,-15.5156
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,Which law predicts increasing entropy based on living systems?,False,False,False,-10.9375,-10.0000,-11.4375
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it",False,False,False,-13.0312,-15.1797,-16.0781
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,A pigment within plant cells which absorbs light is called?,False,False,False,-18.0469,-18.8125,-17.8281
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,What is the largest known animal?,False,False,False,-11.8125,-15.6426,-14.6719
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,What is the process by which the nucleus of a eukaryotic cell divides?,False,False,False,-9.3750,-12.4688,-10.3438
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,What do most of the noble gas elements have in common?,False,False,False,-15.1113,-16.0527,-14.1172
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,"Distinguished by the great red spot, what planet has an upper atmosphere contain",False,False,False,-15.1250,-14.0938,-14.1250
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,Research that focuses on understanding basic properties and processes without co,False,False,False,-16.4316,-18.5938,-16.6445
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,What makes the sun glow brightly?,False,False,False,-6.1250,-11.4375,-10.2812
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,What makes nobel gases unreactive?,False,False,False,-15.0938,-17.0156,-16.4395
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,Epithelial cells are found in what body organ?,False,False,False,-15.3906,-15.2344,-11.9375
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,"Protozoa that cause malaria are spread by a vector, entering the blood through t",False,False,False,-16.0352,-17.3906,-16.3828
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,Bacteria and archaea that survive under extreme conditions are called?,False,False,False,-10.0938,-12.2500,-10.3750
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,Amorphous selenium is a photosensitive what?,False,False,False,-11.6250,-13.4219,-11.7812
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,What is the mode of breathing that occurs at rest and does not require the cogni,False,False,False,-13.1875,-16.0781,-15.6953
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,What are the outer planets of the solar system made of?,False,False,False,-9.0000,-10.0938,-7.0625
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,What is the three-dimensional structure of a single polypeptide called?,False,False,False,-19.0000,-19.1719,-16.4805
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,What phase is pure chlorine present as?,False,False,False,-9.6250,-12.3438,-8.6875
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,What is the term for the interaction of waves with other waves?,False,False,False,-17.7539,-17.7773,-17.1172
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,Regular checkups with what type of specialist can detect skin cancers early?,False,False,False,-13.4531,-16.1953,-14.6562
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,Cardiac muscle normally has what kind of oxygen-using metabolism?,False,False,False,-11.1250,-15.7969,-8.3125
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,A homogeneous mixture composed of two or more substances is called a what?,False,False,False,-18.6250,-19.0781,-17.1953
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,Periodic refers to something that does what?,False,False,False,-15.6016,-15.8145,-16.7451
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,"The embryo sac consists of only a few cells, one of which is the what?",False,False,False,-16.1680,-15.2031,-14.3906
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,"In myasthenia gravis, antibodies bind to and block certain receptors on muscle c",False,False,False,-17.1211,-13.9062,-11.5625
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,What type of diseases are diseases that are caused by choices that people make i,False,False,False,-15.7578,-18.4141,-17.0781
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,Pure substances have a constant composition and can only be changed by what?,False,False,False,-7.2500,-11.0938,-7.3750
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,"Color blindness, hemophilia and muscular dystrophy are three x-linked what?",False,False,False,-14.3594,-15.3750,-14.1562
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,Unsaturated hydrocarbons with at least one triple bond are known as?,False,False,False,-16.6211,-16.4727,-16.1641
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,What forms when one substance dissolves into another?,False,False,False,-7.6875,-12.2188,-7.6250
3f4368f134d45f2838ffaafce8c9a314e61a3bcb5d4e22c3fd0f72b73d01aa8a,What can have complex effects on soil nutrient concentrations?,False,False,False,-3.0000,-7.6875,-11.0938
406903d1cda4ad5f13b43d25e0af38e781a94521fedb3f39765befa05ecf9299,Earthquakes occur most often at which natural feature?,False,False,False,-17.9238,-17.5879,-15.0000
